address,sniff_provider,phone_num,times,
"א.ס. לוי 13, רמלה, בן גוריון",שירותי בריאות כללית,08-9773111,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בדיקומט  נגישות לנכים
"אבא אחימאיר 26, אפקה תל אביב",לאומית שירותי בריאות,03-7450400,"Opening_hours ייפתח ב-16:00  שעות פעילות  ימים א', ג' ימים ב', ה' יום ד' יום ו'   7:30 - 19:00  7:30 - 13:00  7:30 - 13:00, 16:00 - 19:00  7:30 - 12:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה בית מרקחת פיזיותרפיה
"אבא אחימאיר 27, אפקה תל אביב",מכבי שירותי בריאות,03-6461515,"Opening_hours   שעות פעילות  ימים א', ג', ה' ימים ב', ד'   8:00 - 12:00  8:00 - 12:00, 16:00 - 18:00   צפה בשעות הפעילות", שירות אחיות בדיקות מעבדה  שירותים סוציאליים
"אבא חושי 1, עוספיה",מאוחדת,04-8355600,"Opening_hours   שעות פעילות  ימים א', ו' ימים ב', ג' יום ד' יום ה'   10:00 - 12:00  8:00 - 19:00  11:00 - 19:00  15:00 - 19:00   צפה בשעות הפעילות", שירות אחיות פיזיותרפיה מרפאת נשים  ריפוי בעיסוק יועצי תזונה
"אבא חושי 1, עוספיה, ליד המועצה המקומית",שירותי בריאות כללית,04-8391167,"Opening_hours ייפתח ביום ה' ב-8:00  שעות פעילות  ימים א', ג' ימים ב', ה' יום ד' יום ו'   8:00 - 15:00  8:00 - 18:00  8:00 - 13:00  8:00 - 12:00   צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת  שירות מעקב היריון נגישות לנכים
"אבא חושי 6, עוספיה",מאוחדת,04-6932600,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   8:00 - 19:00  8:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת  שירותים סוציאליים
"אבו חצירא 1, יבנה",שירותי בריאות כללית,08-9325200,Opening_hours   שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, טיפת חלב שירות אחיות בדיקות מעבדה בדיקומט בית מרקחת   עוד פרטים  שירות מעקב היריון נגישות לנכים
אבו סנאן,לאומית שירותי בריאות,04-9561308,"Opening_hours   שעות פעילות  ימים א', ד', ו' יום ב' ימים ג', ה'   8:00 - 13:00  8:00 - 15:00  8:00 - 13:00, 16:00 - 18:30   צפה בשעות הפעילות", בדיקות מעבדה בית מרקחת אולטרה סאונד
אבו סנאן,מאוחדת,04-9566520,"Opening_hours   שעות פעילות  ימים ב', ד', ו', שבת ימים ג', ה'   8:00 - 12:00  8:00 - 12:00, 16:00 - 19:00   צפה בשעות הפעילות", מרפאת נשים  שירות מעקב היריון
"אבו סנאן, (מישלב)",לאומית שירותי בריאות,04-9962802,"Opening_hours ייפתח ביום ה' ב-15:00  שעות פעילות  ימים א', ו' ימים ב', ה' יום ג'   16:00 - 20:00  15:00 - 16:00  19:00 - 21:00   צפה בשעות הפעילות", בדיקות מעבדה
"אבו סנאן, (עטאלה)",לאומית שירותי בריאות,04-9965636,Opening_hours ייפתח ביום ה' ב-17:00  שעות פעילות  יום א' יום ג' יום ה' יום ו'   17:00 - 20:00  18:30 - 20:30  17:00 - 19:00  16:00 - 18:00   צפה בשעות הפעילות, בדיקות מעבדה
אבו קרינאת,שירותי בריאות כללית,08-6824400,Opening_hours פתוח  עד 19:30  שעות פעילות  ימים א' - ה' יום ו'   7:30 - 19:30  9:00 - 13:00   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה  נגישות לנכים
אביאל,לאומית שירותי בריאות,04-6380026,Opening_hours   שעות פעילות  יום א' יום ג'   13:15 - 14:00  13:15 - 16:15   צפה בשעות הפעילות, שירות אחיות בדיקות מעבדה בית מרקחת
